username,rating,comment
ianjeraldhinampas,5,
pita1018,4,
r*****l,3,"at ayon na nga,.cover lang talaga xa ng airpods,.pero ok na din naman wala naman damage okey naman,.ngcancel order ako kase tagal dumating,.kaso nun nagcancel order na ako,.kinabuksan ship out n dw kuno,.so ayon na nakuha ko,.hahaha un lang pala ang laman,."
a*****l,5,Thank you seller. Well-packaged and arrived quickly despite coming from overseas. Thaaaaaaaaankkkksssssssssssss
shyralotbanaria14,5,"Best Feature:maganda malinis
Value For Money:okay naman sya pwude na sa price
Product Quality:plastic

Pwude na sya ganda may sabitan den sya goods naman sya ............"
rusimacho125,1,"Best Feature:bad
Value For Money:bad
Product Quality:bad

Bad"
.katala,5,"Sakto yung item, as advertized. Ganda pa ng quality, makapal yung case itself kaya protected talaga yung airpods. Satisfied 💖"
r*****s,5,"The review sections of items listed on popular e-commerce platforms like Shopee and Lazada are an interesting place to explore—populated by a wide range of personalities armed with nothing but their (hopefully) honest opinions. In an ideal world, we scroll through these product reviews to get a bett"
k*****1,5,"Hi their, i really recommend this store, a very respectfully, responsible, and responsive seller. Thank you so much. It took a while since its overseas"
alelipohmua,5,"Nakakahappy and ganda ng mga phone case na nabili ko, tama lahat ng variant and yung quality the best! Yung alcohol lang sayang kasi nag li-leak sya ang ganda pa naman."
chenkimmie,5,Thank you so much it fits my airpods 3 well it’s very thick but it’s made at of hard silicon not plastic but it’s also fine i really like the product 😊
nuevass,3,"Product Quality:good
Best Feature:good
Value For Money:good

nc cover po
ty sa pag delivered
kala ko airpads i cancel ko sana kaso di na pwede i cancel kasalanan ko din pero ty paren
bibili nalang ako ng airpads kase may case nako"
jlachumbre,5,"Worth it for it’s price, totally elegant. I like it. What you see is what you get + toughness."
a*****a,4,"Best Feature:It fit perfectly but the small case can easily removed
Value For Money:Affordable
Product Quality:Good"
,1,"Best Feature:okay naman
Value For Money:medyo  ma price
Product Quality:makapal pero akala ko HAHAH

akala ko Earpods yung dadating di kasi ako nag babasa HAHAHHA"
l*****o,5,so simple yet so nice! silicone-ish ‘yung case and medj mahirap lang tanggalin ‘yung airpods so be careful na lang when removing it. sana hindi siya manilaw agad 🙂
m*****c,5,"Medyo matagal lang dumating kasi pre order pero magaganda ang items!!!!! Also, worth it naman hintay kasi wala naman damage. Yun lang thank u seller!"
viaangelaguarte,5,"Maayos ang pagkadiliver, maganda din Yung product. Responsive din Yung seller.
Thank you seller!"
i*****d,5,ANG GANDAAAAAAA NG QUALITY IT'S MINIMALIST HIGHLY RECOMMENDED AND I GOT IT CHEAPER DAHIL SA SALE AND ALSO ANG BILIS NIYANG DUMATING I ORDERED IT NUNG 12.12 AND IT ARRIVED YESTERDAY DECEMBER 18 AND NASA PROVINCE PA AKO NG MINDANAO KUDOS TO U SELLER!! I LOVE IT VERY MUCH!!❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤
m*****_,5,Matagal lang ma ship pero received all items naman. Thank you seller. May magagamit na ko for my phone accessories. Sa uulitin.
viahmarie,4,I like it! glad they send right variation. 🤍 The only problem I had is it took 2weeks to be delivered. waiting period is a bit 🙃. 14days!! so hindi ko agad nacover yung Airpods & Charger ko. But it’s okay :) Thank you! 💯
kortbatumbakal,2,"Best Feature:Bad
Value For Money:Affordable
Product Quality:Not good

Medyo may crack siya  at hindi siya fit sa Airpods 13"
joemardalas,1,Cute ng binigay lalagyan lang wala man lang laman grabe
c*****u,4,"Value For Money:affordable
Product Quality:nice
Best Feature:nice quality

It’s nice. Arrived on time"
elroy.jandicala2004,5,"Best Feature:Aesthetically pleasing
Product Quality:Its ok for its price!

All of the cases are nice! the clear case with lines where kinda wobbly and was hard to remove, but for its price it ok!￼"
d*****o,5,Perfect condition. Wrapped perfectly. Love the case and the pop socket so beaut. Complete items. Shipped immediately. Will order again. Thank you!
jgdelasalas,5,"I have been buying things from shopee for couple of years now. What I like about them is that you can really save a lot of money, especially during special days."
s*****g,5,"Best Feature:High quality
Value For Money:affordable
Product Quality:thick and durable

Thanks Shopee!!! Items comes in good shape 🫶
Fast delivery 3days lang andito na.
Good for its price. Will order again.  🥰🥰🥰🥰
Photo and video for coins purposes only 🥰"
a*****z,5,"Fit sya and super neat tingnan sa airpods2, gusto ko ung mejo bulky but light, recommended shop when it comes to cases, matagal lang shipping and delivery"
zemiraandco,5,"**PHOTOS NOT RELATED BUT THIS IS MY REVIEW 


This is my very first order through site, and I
am totally and completely satisfied! The fit is
great and so are the prices. I will definitely
return again and again..

I just got my first order and I have one word
WOW!!!! Love. Love. Love"
mjayregulacion,1,Bakit ganun walang Yung item? Tagal kung inantay ganito pala Yung dadating ☹️
2jh90711fk,2,"Naresave ko na po kaya lang walang laman,.piro nagbayad po aq. Pano ko po makukuha un?"
m*****h,5,"Performance:I’ve been an Android user since 2014 but switching to IOS has been such a treat! Super smooth, great battery life.
Best Feature:Color. Looks amazing in person.
Product Quality:Legit & brand new at 100% battery capacity. Sealed.

Been using this phone for a week and the performance is great. The item arrived safely, no product info on the waybill as well (probably to avoid theft). They also shipped out the correct color. It took 6 days for the package to arrive. Ask for a receipt & choose J&T! Customer service also needs more work but I am overall happy with this product. Smooth! Thank you."
g*****a,5,"The phone was packaged securely & the shipping was super fast even though I'm from the province! The phone is working properly and arrived in pristine condition. Thanks, Beyond The Box! :)"
ickailmrqz,5,Received in 5 days. Nice packaging and very protected with bubble wrap. Thank you for the promo too. Thank you thank you. Legit!
gzqnjn,5,"Best Feature:The color, of course! 💜
Product Quality:device is genuine and working well
Performance:Smooth as butter

Took the time before leaving a review to check if product is working well and 4 & a half days later, everything's going smoothly. Since it's my first time ordering a phone online, it is only normal to get a bit nervous about a defective possibility but phone's legit and working wonders so far!"
k*****9,5,"Performance:👍🏻
Product Quality:😍
Best Feature:👍🏻👍🏻

Super legit, ganda ng design and very like ko lalo nat nabili ko sya ng price drop. Last pc na din yung color purple kaya minake sure ko na makukuha ko sya. Very satisfied customer here. Follow up ko na lng din yung sales invoice since yung purple lang ang nag warranty slip na kasama. Thank you again!!! Will buy again!!!"
k*****9,5,"Best Feature:😍😍😍
Performance:👍🏻👍🏻👍🏻
Product Quality:👍🏻👍🏻

Super legit, ganda ng design and very like ko lalo nat nabili ko sya ng price drop. Last pc na din yung color purple kaya minake sure ko na makukuha ko sya. Very satisfied customer here. Follow up ko na lng din yung sales invoice since yung purple lang ang may warranty slip na kasama. Thank you again!!! Will buy again!!!"
d*****n,5,"Performance:👍🏻👍🏻👍🏻
Best Feature:LEGIT and CHEAPER here compared to its mall counterpart
Product Quality:👍🏻👍🏻👍🏻

Received in good condition, packed well. Satisfied buyer here. I was initially hesitant to buy very pricey items online, but i gambled on since this store had good reviews and has many branches in malls. Sealed box, no dents, iphone works well as expected. Thank u seller and Shopee for selling this cheaper🤗 (P4-5k cheaper than in malls).😊"
j*****c,5,Item was delivered earlier than expected delivery date!! Was so happy to finally own my first iphone. Very fast transaction from this shop! Thank you BTB💖💖
anjabadulis,5,"Performance:10/10
Best Feature:10/10
Product Quality:10/10

SUPER DUPER LEGIT!!! 💯 Wala pang 1 week, dumating na agad. Resposive seller and mabait. Thank you beyond the box. More sales to come! ☺️"
jocarlod,5,"It took 7 days before it arrived, i just wished it was delivered sooner. Good condition and well packaged. Super legit. Thank you!"
yunaaaaz,5,"Arrived at good condition. Legit yung item, thankk youu soo muchhh. Super secure din ng packaging kaya safe ang phone. 😍💚"
e*****o,5,"-Ordered July 29, received July 31
-packaging is okay
-authentic iphone 12 black 128gb
-2nd iphone i bought from beyond the box, got this for 45k with vouchers and coins and free shipping 
-Sad lang wala akong freebie na Momax charger compared sa ibang buyer"
m*****a,5,"Performance:10/10 Sobrang smooth gamitin. Fast to connect
Best Feature:Camera
Product Quality:10/10

Super happy w/ my purchase! This is my first apple product. Thank God for His provision 🙏
I really like the color ang lamig lang sa mata ng mint green. Also, kudos to the BTB 🙌 legit! The product arrived in 3days. Earlier than expected. They’re also responsive sa chat. Medyo downside lng for me yung battery na 10% lng when I turned on. But everything is good"
abunnypunnyarts,5,"Performance:10/10
Best Feature:Camera
Product Quality:10/10

Beyond the Box is a great place to purchase your phone in my experience. They were very courteous when I asked questions and the phone came in just 3 days! Item was also super well wrapped. Thank you again! Really happy with my phone 🥹💖"
m*****o,5,"Legit iPhone 12 since given naman that BYB is an authorized reseller. Bale ang inclusions are (1)the iphone itself, (2) a USB-c to lightning cable, and the (3)warranty and other docs to read plus sim ejector. Inabot ng six days to deliver so medyo oks lang yung bilis."
c*****e,5,"Excellent quality, accommodating seller, well packaged, took almost 1 week to arrived, I will order again. Thank you."
k*****x,5,"Second order ako ko na dito and all legit, apple warranty guaranteed. Reveiwing after few days of use, working fine as it should be. 100 % BH. Fast shipping, all goods lahat noong nareceive ko. Packed well. Thank you 😊"
m*****i,5,Super legit at first there was hesitation but when i opened the parcel 5 star got a new authentic apple iphone 12...love the shop liked the phone no issues will recommend the shop to my friends ❤️❤️❤️❤️❤️❤️❤️👏👏👏💯💯💯💯💯
m*****v,5,"Fast delivery and well packaged, excited to use it. My 1st iPhone coz I've always been an android user, love the color too..."
iladkaren,5,"💯 legit! The package arrived in just 3 days. I highly recommend this shop since they are also a direct reseller of PowerMac. I super love the color. Thank you, BTB! 💜"
markroscopik,5,"FASTEST DELIVERY I HAD ❤️ Expected Delivery is still on November 26, 2021 but already received today, Nov. 18, 2021 after placing last 11.11 Sale (Manila to Mindanao)✨

Safe Packaging (Sturdy Box and Bubble wraps inside) 👍🏻

LEGIT Iphone! Worth Buying with Discount . Salamat Shopee sa Vouchers ❤️"
c*****o,5,First time to buy a phone online. Hehe Satisfied and worth the wait. Took. 5 days before it arrived. Well packed and all goods. Hindi nga lang ako nakakuha ng freebies like other. But its okay. Thanks
a*****a,4,"Ordered: November 11
Shipped out: November 13
Received: November 15

Fast shipping! Item could’ve been packed better with more bubble wrap though.. Thanks seller!"
mriezuela,5,100% legit and seller was very helpful with questions. Purchase was hassle free and item was packaged super well. Definitely recommend.
e*****n,5,"Performance:💯
Best Feature:camera!
Product Quality:legit

Ordered nung 10.10 ng gabi and it arrived 13 the afternoon super quick! Legit tlga even got the warranty! Happy with my purchase!"
d*****i,5,Been using it for a while now!! It was securely packed and was delivered immediately 💯 also got it for a lower price because of the promo 🤘🏽
j*****9,5,"I ordered last 11.11 sale and got it at fairly discounted price. I received the package 4 days after. The edge of the box was crumpled as you can see in the video so I was a bit worried while opening, good thing there was no sign of physical damage."
p*****w,5,"After some intense reflection, I finally decided to purchase this one haha. Ordered Sept 21 and I received it just 3 days later! The item was well-packed with an adequate amount of bubble wrap. So far I haven’t encountered any issues with the phone. Thanks, too, for the free Speck clear case!"
jmv5455,5,"Performance:Works and Feels like it should be
Best Feature:camera is an upgrade
Product Quality:100%

I am totally happy with my purchase. Except for the courier side though that there is definitely needs an improvement when dealing with their customers and handling the parcel as the box is somewhat smashed."
c*****y,5,It took time for the seller to ship the item. Pero legit po. Phone is working and brand new. Walan nga lang pong resibo. I received phone and cord. Salamat shopee and seller. 👍🏼
johnrexter08,5,"Arrived within expected date, well packed. Comes with free tools and adhesive. This is my 2nd order of OLED display from the store, and both are great quality. Thank you for such wonderful online shopping experience. You are my go-to store when i need display replacement."
quincyaya,5,"Value For Money:Excellent
Product Quality:Excellent
Best Feature:Excellent

Now lang ako magbibigay ng comment sa product na ito Ganda niya super Ganda niya sulit na sulit.As you can see balot na balot.Saan ka makakabili ng Lcd na may kasama ng mga tools.Totoo ang tsismis as in LEGIT,di kayo magsisisi.Iba siya sa pinagawa ko dito lang sa amin di na umabot ng isang buwan nasira na 1800 pesos pa binayad ko.Kaya yung nakita ko to sa Shoppe,nagtry ako ulit ipagawa lcd ng phone ko kase may sentimental value yung cp ko.Ako na din yung nag ayos.Watch lang sa youtube kung papaano and tsadaaaa.Sa wakas di ako ngsisisi worth it talaga Thank you so much po Seller.Yun lang po ang thanks sa nagbabasa ng comment ko dito sa shop na ito kung sino man nagbabasa nito wag ng magpatumpik tumpik at e add to cart muna dali."
jayroceswanderph,5,"This is my 2nd order, They got well protected package, recieved them in good conditions *Thumbs up* Great handling with care... LCD is clear and clean... My first order was bright, the second one is dimmer though... Overall they are good, Salamat seller"
tm8___2k0z,5,"Best Feature:VERY GOOD
Performance:SMOOTH TOUCH
Product Quality:AMOLED

Sorry for my very placing rate/review about sa item na napurchased ko. Working na working sa Device ko. Ngaun nagamit ko na ulit ang phone ko matapos na-orderan ng LCD TOUCHSCREEN. Sa mga siiang LCD TOUCHSCREEN ng UNIT nila na SAMSUNG J7 PRO, dito na po kau oorder. LEGIT po ang Store na'to kaya ano pa hinintay nyo, bili na!
Bilis din ang delivery kahit na OVERSEAS ito dhl hndi umabot ng 2 weeks, dumating sa akin ang inorder ko.
Salamat kay Seller na nag-effort sa pag ship out ng item na inorder ko at sa maayos ng pagkabalot ng item ko at napakaresponsive na Seller po.
Salamat din sa Shopee Rider (J & T EXPRESS) na hinitay ako hanggang diko nakuha ang item ko."
hya20phil,5,"Best Feature:good quality
Value For Money:affordable
Product Quality:okay

So far so good. 3rd time ko na to inorder from this shop. Pero mas maganda yung first two orders ko."
h*****l,5,Pangalawang order ko na sa shop na to. I highly recommend this shop kasi maganda yung quality ng lcd. Well-packaged din siya. Responsive din ng lcd. Madami kc nga shops na nagbebenta buti nlng trusted itong shop na to.
jampecson216,5,"Best Feature:ok sya maganda
Value For Money:sulit naman
Product Quality:👍👏

Salamat seller pati sa rider maayos nmn po ang pagka balot.. Mabait din si rider..  Kaso nung nkabit na nmin kulay blue yung screen nya.. Pero ok nmn na gagamit nmn salamat order kami ulit 👏"
n*****8,5,Excellent quality and very very good packaging po ordered Amoled screen hereeee.. thank you and 5 stars for this Shop! highly recomended this shop to all J7 pro users out there😇💝
j*****z,5,"Best Feature:Complete Set
Value For Money:Best
Product Quality:Best

Aside from the screen, they provided with tools to help for the repair. Package is also secure, so you don't have  to worry. Package delivery is also fast."
r*****c,5,Very good quality for it's price. The screen looks close to the original. You can't even notice it is a replacement once installed. Blue light filter is working. Comes with free tools as seen in the attached pictures. I highly recommend this product.
roneldelmonte,5,"Value For Money:goodn na good
Product Quality:5 star
Best Feature:maganda  safe na safe yung packiging nila."
kris.tupe,5,Una pag kabit ko d agad umilaw un screen pero nun nag hard restart ako gumana n sya pag testing ko prang walang naiba sa itsura sobrang clear ng graphics ung touch smooth n smooth din! Sobrang secured din ng packaging and very responsive c seller anytime nag rereply. Sobrang thankyou sanyo!
v*****o,5,"I was worried cause its not working at first , but the seller was very responsive. In my case i needed to reconnect the battery flex so i had to entirely open the phone. Thank you so much, my mom is so happy with the quality of the product.👌🏻😁 "
jessaloretocabillo,5,Package arrived in a very good condition. Shipping took only 5 days. The products are genuinely of high quality. I can now use my samsung j7 pro perfectly like its never been broken at all. I will definitely order again.
harrisjunenavorawolfe,5,"This was my third time purchasing J7 pro's screen replacement from Cellmax,.. other,.. the 1st and 2nd were defective items. But the last one, this time was good. Thumbs up for this! Thanks"
astroboi26,5,"Value For Money:👌👌👌very good for the price
Product Quality:100% good quality

Thank you shopee and seller!!! Also kua for the delivery!!! Parcel arrived safe and secured!!! Three thumbs up here!!! 👍👍👍👌"
l*****n,5,"Thank you po, ang ganda ng lapat ng lcd, mabilis pa dumating.thank you din kay kuya ng j&t.excellent Quality.will order again.."
ronmadrid,5,The screen was legit AMOLED. This is much better compared to the old replacement screen I got which was a TFT LCD. The colors are warmer and fits better. Only issue is the blue light filter doesn't work but overall this is a good buy! Don't hesitate to order!
dudzjay,5,napakaganda ng package super secure .. mabilis din dumating ang order ko .. maganda talaga quality kasyang kasya sa housing hindi sobra .. amoled display maganda talaga sa mata ... thanks you so much will order again on this shop ❤️
blwgqe_aj3,5,"Best Feature:Quality is Good
Value For Money:Worth the money
Product Quality:Good

At First I tought it was defective so I chat the seller and they are so responsive. Worth the money 🥰♥️ This shop is highly recommended💜"
suzettegongob,5,"Best Feature:good
Value For Money:good
Product Quality:good

Sorry ved not related,for points purposes only.. very good product,ok nman sana mgtagal pra sulit ang bayad ko"
h*****l,5,Finally magagamit ko na rin yung samsung j7pro. Oled lang binili ko kc d ako sure kung gagana pa yung phone. Buti nlng working pa. Kaya happy ako sa purchase at secured nmn ng packaging. Meron din kasama na tools at glue. D ko lang naisama sa picture. Thanks seller.
ronaldopalaypay_95,1,"Best Feature:waste of money
Product Quality:poor

sobrang nipis nya at wala syang logo di tulad ng mga nasa reviews, tapos yung blue light filter nya pag ini on mo magiging dilaw na may pagka green lang sya patunay na low quality yung LCD nilang AMOLED daw pero pag chineck mo sa screen mode at pag nilagay mo sa amoled display maninilaw lang din sya, tapos pag naka dark mode may mga part ng screen na madilaw sya, pag walang logo dumating sa inyo ganito rin qualty nyan at hindi ka nila iiinform na walang logo ipapadala nila."
loot0rius,5,"makapal sya pero sakto lang pagkakasalpak, medyo ma mabrown lang ung backlight, hindi sya kamukha ng iba na white unh backlight 
para syang laging naka eye protection
sana tumagal
thanks cellmax ♥"
cristyjeanbisnaresmeralda,5,I’m so happy with the items super ganda at matibay. Worth it ang binayad ko. Will order again soon. Good packaging  I super love it. Its so secured. Thank you so much po.😍🥰😘❤️
orillamark7,5,"Thanks you seller super goods yung item naka packaging ng secured and so far no issue nman yung lcd nya and then successful yung installation ko


Thanks a lot po"
janehilaga,5,Item is functional! No regrets in buying. Their AMOLED screens are just like the original ones. Nung una medyo hesitant pa bumili pero i trusted my gut since need ko na talaga magreplace ng lcd and this shop never failed my expectations. Definitely worth it!
l*****9,5,"Ganda! Quality talaga, AMOLED 🥰 Gumagana rin yung blue light filter. Very safe din ang packaging. Super satisfied at its reasonable price. Akala ko nung una, defective yung lcd, buti nalang sinubukan nung technician na alisin ang battery , tas yun nagkadisplay na. Thanks seller."
r*****8,5,3rd order and still you never cease to impress me thank you seller dahil magagamit ko na phone ko after 2 years natengga salamat po dahil sa ganda nang quality at so smooth pa ang screen salamat po again
cristperdido,5,"Value For Money:okay
Product Quality:good
Best Feature:good

Okay good thank you seller,, bilis na ship and dumating  salamat fit sya, guys amoled piliit nyo para sulit"
j*****e,5,"Legit product! Well packed🤘 Sobrang ganda. Pina ship agad ni seller at bilis ng shipment, I received the product 6 days earlier than the delivery date. Ang bait din ni seller. Thank you Shopee! Thank you J&T at kay Raider sa pag deliver ng parcel ko. Recommend and shop na to🤘🤘 com'on let's vape!"
x*****h,5,"Best Feature:Legit
Product Quality:⭐⭐⭐⭐⭐
Performance:Matagal siya bago malowbat worth the money!

Ang bilis nadeliver kakacheckout ko lang nung 8.8 tapo narecieve ko agad kinabukasan. , ganda ng item :)"
bernievillanueva,5,Cencya na now lang me rate kc try ko muna..... honest review ko excellent product.. nice seller and I like it good job and god bless 👍👍👍👍👍
bernievillanueva,5,Grabe nahirapan akong buksan ang galing mag packaging at yng products quality talaga at c seller nagsesend ng picture before nya pa ship thanks again at kay JNT Ang bilis delivery 3days lang and2 na Baguio receive Kuna agad
v*****5,5,"Mabait si seller, Nag ask ako if pwede bang freebase nalang ung juice na dapat saltnic na kasama binigay nya sakin dalawang juice na freebase 😍💯💯💯 Mabilis dumating ung item at legit from LOST VAPE ❤️🧡💛💚💙💜🖤"
k*****j,5,"Performance:10/10
Best Feature:metal indeed. it feels heavy too.
Product Quality:the best

This would be the replacement for my aging voopoo vmate. They have the same quality."
canutoyz,5,dabess talaga ursa nano pod.. legit item bibili ako ulit dito salamat sa seller exact order yung dumating at swabe ang wrapping nang item parang ayaw ipa open 😅 secured kaayo.. Good job seller thank you so much salamat shoppee..🎊🥳🎉🙏
antonio7228454,5,"Performance:Vgood
Best Feature:Smart pod
Product Quality:Great

Wow ang bilis. Naman dumating ng order ko this is my 2nd time order and God kase nag sesent muna si costumer ng pic bago ipadala"
pinkpanti,5,legit talaga tong ursa nano! I also have the silver one (sa ibang shop ko naman sya nabili) kaso nakita ko tong bagong labas na color kaya agad agad bumili talaga ako. thank you seller and shopee! til next order.
regaladoghadzmanahan,5,"Performance:napaka swabe
Best Feature:napaka smooth
Product Quality:dabest"
regan_aredidon,5,Na recieve ko na maganda pagka packing safe na safe sya my babble pa sya solid na solid 5 star si seller sa akin tnx u at sa dilivery ang bilis di ko inaasahan na dumating sya agad tnx u po ulit
t*****5,5,"Performance:Excellent
Best Feature:excellent
Product Quality:excellent

Ganda ng Pod. gusto ko yung disenyo ng produkto. magaan sya di mabilis malowbat malakas ang buga ng usok. love it ty seller pasensya na kung ngayon lng na review. sa uulitin po ⭐⭐⭐⭐⭐"
l*****r,5,"Variation: Wave Purple, Kit+ Saltnic Juice
Well packaging ✅
Fast delivery in just 2 to 3 days I received my items ✅
Thank you seller atsaka sa nag deliver 😊"
g*****s,5,"Performance:good
Best Feature:handy and cute
Product Quality:good

Ganda legit na lost vape Ursa nano sya complete as you ordered and very sealed and safe Yung item."
licoybatchoy,5,"Performance:good just like in the reviews i watched on youtube.
Best Feature:no buttons and it has airflow control.
Product Quality:heavy. durable. tiny.

Everything's working from the battery, cartridge, charging cable."
nathanrenz779,5,Suki na ko ng seller na to and still wala pa rin akong masabing negative. Napaka solid nito at sobrang bilis dumating. Mabilis rin magrespond sa message ang seller. Thankyou 🥰
s*****2,5,"2nd time na mag order at ganda talaga ng mga items,good quality, worth the wait didn't regret after receiving the item thank you so much seller will surely buy again nagustuhan ni hubby yung binili ko sa kaniya kaya binilhan niya dn ako para partner daw haha"
s*****2,5,"ganda ng mga items,good quality, worth the wait didn't regret after receiving the item thank you so much seller will surely buy again sana magustuhan ni hubby ko"
stupidberly,5,"Arrived early
Fast and well pack..
Definitely order again soon..
Thumbs up sa seller
Salamat shopee...
Salamat seller.."
jhoannetapan,5,"Performance:vgood performance tlga nya..nice!
Best Feature:magand
Product Quality:maganda sya very nice quality tlga nya .

Thank you seller nag sesend ng oic, c seller bago i ship..at npaka ganda tlga ng quality at performance ng items na to..100% legit 😄😄 thank you po😄😄"
yanyanlucero,5,"Salamat po maaayos at maganda ang item
Mura pa at medyo mabilis ang delivery.
God bless seller and shoppee more  orders ko"
stupidberly,5,"Arrived early
Fast and well pack..
Definitely order again soon..
Thumbs up sa seller
Salamat shopee...
Salamat seller.."
o*****e,5,Super gandaaa promiseee! Acckkk! Lightweight lang. 5 days bago dumating pero okay lang. Accommodating din si seller. Bili na rin kayooo! 😊
earllawrenceraganit,5,"Best Feature:yung auto draw sobrang responsive
Product Quality:maganda tas matagal pa ma lowbat
Performance:nice wala namang sira

Salamat sa seller ganda ng pagkaka balot 
Mabait din yung nag deliver"
j*****o,5,"Performance:10
Best Feature:10
Product Quality:10

Hindi talaga yan yong color ng vape hindi kona sya napic, Ayan yong unang order ko."
a*****n,5,"Performance:nice
Product Quality:nice

Excellent qualityyy. Item shipped immediately. Very affordableeee. The package was nice it secured the safety of the item"
redgalvez,5,"Ka TM, magparamdam ka naman uli! May FREE 1GB valid for 1 day ka pag mag-register sa kahit anong promo worth at least P30, tulad ng All-In Surf30, hanggang 02/24/2023. I-text ang AS30 o ang keyword ng napiling promo to 8080. REF#: FTGRW49"
gelnatics,5,"Performance:good
Best Feature:light weight and small
Product Quality:good

As always complete item and secured packaging. And always nagsesend si seller Ng pic bago Muna nya ipadeliver ung product/item. Good job seller"
alltimepau,5,"Performance:smooth
Best Feature:the design is very good
Product Quality:excellent

Trying to observe pa kung tatagal hehe. pero mukha namang okay"
esperanzate.ph,5,"Performance:ANG ANGAS 🔥🔥🔥🔥🔥
Best Feature:Design 😍😍😍😍😍
Product Quality:💯💯💯💯💯

LEGIT 🥺🥵👌
Thank youuuuuuuuuuuuuuu! Will definitely order again. Highly recommended!"
