rating,comment,processed_comment,label,prediction
5,super ganda ng quality nya and super linaw nya rin kakaenjoy manood lalo,super ganda qualiti nya super linaw nya rin kakaenjoy manood lalo,2,2
5,its legit k perfect for my movie time and gaming thanks seller,legit k perfect movi time game,2,2
5,malinaw sya maganda yung quality must buy pips suggested item ko sainyo,malinaw sya maganda yung qualiti must buy pip suggest item sainyo,2,2
5,legit item im pleased so far its good thanks seller,legit item im plea far good,2,2
5,order recieved same as advertised,order reciev advertis,2,2
5,thumbs up,thumb,2,2
5,legit xiaomi smart tv and its good quality,legit xiaomi smart tv good qualiti,2,2
5,legit smart tv highly recommended,legit smart tv high recommend,2,2
5,legit smart tv thanks seller,legit smart tv,2,2
5,thumbs up sa shop,thumb shop,2,2
5,,,2,2
5,very good at ang bilis dn dumating,good bili dn dumat,2,2
5,,,2,2
5,maganda,maganda,2,2
1,this scammer tried to block me after giving me a different items wsg kayo oorder dito scammer yan,scammer tri block give differ item wsg oorder scammer yan,0,0
1,,,0,2
3,,,1,2
4,,,2,2
3,at ayon na nga cover lang talaga xa ng airpods pero ok na din naman wala naman damage okey naman ngcancel order ako kase tagal dumating kaso nun nagcancel order na ako kinabuksan ship out n dw kuno so ayon na nakuha ko hahaha un lang pala ang laman,cover lang talaga xa airpod ok naman wala naman damag okey naman ngcancel order kase tagal dumat kaso nun nagcancel order kinabuksan ship n dw kuno nakuha hahaha un lang pala laman,1,1
5,you seller well packaged and arrived quickly despite coming from overseas thaaaaaaaaankkkksssssssssssss,well packag arriv quick despit come oversea thaaaaaaaaankkkksssssssssssss,2,2
5,maganda malinis value for money okay naman sya pwude na sa price plastic pwude na sya ganda may sabitan den sya goods naman sya,maganda malini valu money okay naman sya pwude price plastic pwude sya ganda sabitan den sya good naman sya,2,2
1,bad value for money bad bad bad,bad valu money bad bad bad,0,2
5,sakto yung item as advertized ganda pa ng quality makapal yung case itself kaya protected talaga yung airpods satisfied,sakto yung item advert ganda qualiti makap yung case protect talaga yung airpod satisfi,2,2
5,the review sections of items listed on popular e commerce platforms like shopee and lazada are an interesting place to explore populated by a wide range of personalities armed with nothing but their hopefully honest opinions in an ideal world we scroll through these product reviews to get a bett,review section item list popular e commerc platform like shope lazada interest place explor popul wide rang person arm noth hope honest opinion ideal world scroll product review get bett,2,2
5,hi their i really recommend this store a very respectfully responsible and responsive seller you so much it took a while since its overseas,realli recommend store respect respons respons much took sinc oversea,2,2
5,nakakahappy and ganda ng mga phone case na nabili ko tama lahat ng variant and yung quality the best yung alcohol lang sayang kasi nag li leak sya ang ganda pa naman,nakakahappi ganda phone case nabili tama variant yung qualiti best yung alcohol lang sayang nag li leak sya ganda naman,2,2
5,you so much it fits my airpods well it s very thick but it s made at of hard silicon not plastic but it s also fine i really like the product,much fit airpod well thick made hard silicon plastic also fine realli like product,2,2
3,good good value for money good nc cover po ty sa pag delivered kala ko airpads i cancel ko sana kaso di na pwede i cancel kasalanan ko din pero ty paren bibili nalang ako ng airpads kase may case nako,good good valu money good nc cover po ty pag deliv kala airpad cancel sana kaso pwede cancel kasalanan ty paren bibili nalang airpad kase case nako,1,2
5,worth it for it s price totally elegant i like it what you see is what you get toughness,worth price total eleg like see get tough,2,2
4,it fit perfectly but the small case can easily removed value for money affordable good,fit perfect small case easili remov valu money afford good,2,2
1,okay naman value for money medyo ma price makapal pero akala ko hahah akala ko earpods yung dadating di kasi ako nag babasa hahahha,okay naman valu money medyo price makap hahah earpod yung dadat nag babasa hahahha,0,2
5,so simple yet so nice silicone ish yung case and medj mahirap lang tanggalin yung airpods so be careful na lang when removing it sana hindi siya manilaw agad,simpl yet nice silicon ish yung case medj mahirap lang tanggalin yung airpod care lang remov sana manilaw agad,2,2
5,medyo matagal lang dumating kasi pre order pero magaganda ang items also worth it naman hintay kasi wala naman damage yun lang u seller,medyo matag lang dumat pre order magaganda item also worth naman hintay wala naman damag yun lang u,2,2
5,maayos ang pagkadiliver maganda din yung product responsive din yung seller you seller,maayo pagkadiliv maganda yung product respons yung,2,2
5,ang gandaaaaaaa ng quality it s minimalist highly recommended and i got it cheaper dahil sa sale and also ang bilis niyang dumating i ordered it nung and it arrived yesterday december and nasa province pa ako ng mindanao kudos to u seller i love it very much,gandaaaaaaa qualiti minimalist high recommend got cheaper sale also bili dumat order nung arriv yesterday decemb nasa provinc mindanao kudo u love much,2,2
5,matagal lang ma ship pero received all items naman you seller may magagamit na ko for my phone accessories sa uulitin,matag lang ship receiv item naman magagamit phone accessori uulitin,2,2
4,i like it glad they send right variation the only problem i had is it took weeks to be delivered waiting period is a bit days so hindi ko agad nacover yung airpods charger ko but it s okay you,like glad send right variat problem took week deliv wait period bit day agad nacov yung airpod charger okay,2,2
2,bad value for money affordable not good medyo may crack siya at hindi siya fit sa airpods,bad valu money afford good medyo crack fit airpod,2,2
1,cute ng binigay lalagyan lang wala man lang laman grabe,cute binigay lalagyan lang wala man lang laman grabe,0,0
4,value for money affordable nice nice quality it s nice arrived on time,valu money afford nice nice qualiti nice arriv time,2,2
5,aesthetically pleasing its ok for its price all of the cases are nice the clear case with lines where kinda wobbly and was hard to remove but for its price it ok,aesthet plea ok price case nice clear case line kinda wobbl hard remov price ok,2,2
5,perfect condition wrapped perfectly love the case and the pop socket so beaut complete items shipped immediately will order again you,perfect condit wrap perfect love case pop socket beaut complet item ship immedi order,2,2
5,i have been buying things from shopee for couple of years now what i like about them is that you can really save a lot of money especially during special days,buy thing shope coupl year like realli save lot money especi special day,2,2
5,high quality value for money affordable thick and durable thanks shopee items comes in good shape fast delivery days lang andito na good for its price will order again photo and video for coins purposes only,high qualiti valu money afford thick durabl shope item come good shape fast deliveri day lang andito good price order photo video coin purpos,2,2
5,fit sya and super neat tingnan sa airpods gusto ko ung mejo bulky but light recommended shop when it comes to cases matagal lang shipping and delivery,fit sya super neat tingnan airpod ung mejo bulki light recommend shop come case matag lang ship deliveri,2,2
5,photos not related but this is my review this is my very first order through site and i am totally and completely satisfied the fit is great and so are the prices i will definitely return again and again i just got my first order and i have one word wow love love love,photo relat review first order site total complet satisfi fit great price definit return got first order one word wow love love love,2,2
1,bakit ganun walang yung item tagal kung inantay ganito pala yung dadating,ganun yung item tagal inantay ganito pala yung dadat,0,0
2,naresave ko na po kaya lang walang laman piro nagbayad po aq pano ko po makukuha un,naresav po lang laman piro nagbayad po aq pano po makukuha un,2,2
5,i ve been an android user since but switching to ios has been such a treat super smooth great battery life color looks amazing in person legit brand new at battery capacity sealed been using this phone for a week and the performance is great the item arrived safely no product info on the waybill as well probably to avoid theft they also shipped out the correct color it took days for the package to arrive ask for a receipt choose j t customer service also needs more work but i am overall happy with this product smooth you,android user sinc switch io treat super smooth great batteri life color look amaz person legit brand new batteri capac seal use phone week perform great item arriv safe product info waybil well probabl avoid theft also ship correct color took day packag arriv ask receipt choos j custom servic also need work overal happi product smooth,2,2
5,the phone was packaged securely the shipping was super fast even though i m from the province the phone is working properly and arrived in pristine condition thanks beyond the box,phone packag secur ship super fast even though provinc phone work proper arriv pristin condit beyond box,2,2
5,received in days nice packaging and very protected with bubble wrap you for the promo too you you legit,receiv day nice packag protect bubbl wrap promo legit,2,2
5,the color of course device is genuine and working well smooth as butter took the time before leaving a review to check if product is working well and a half days later everything s going smoothly since it s my first time ordering a phone online it is only normal to get a bit nervous about a defective possibility but phone s legit and working wonders so far,color cours devic genuin work well smooth butter took time leav review check product work well half day later everyth go smooth sinc first time order phone onlin normal get bit nervous defect possibl phone legit work wonder far,2,2
5,super legit ganda ng design and very like ko lalo nat nabili ko sya ng price drop last pc na din yung color purple kaya minake sure ko na makukuha ko sya very satisfied customer here follow up ko na lng din yung sales invoice since yung purple lang ang nag warranty slip na kasama you again will buy again,super legit ganda design like lalo nat nabili sya price drop last pc yung color purpl minak sure makukuha sya satisfi custom follow lng yung sale invoic sinc yung purpl lang nag warranti slip kasama buy,2,2
5,super legit ganda ng design and very like ko lalo nat nabili ko sya ng price drop last pc na din yung color purple kaya minake sure ko na makukuha ko sya very satisfied customer here follow up ko na lng din yung sales invoice since yung purple lang ang may warranty slip na kasama you again will buy again,super legit ganda design like lalo nat nabili sya price drop last pc yung color purpl minak sure makukuha sya satisfi custom follow lng yung sale invoic sinc yung purpl lang warranti slip kasama buy,2,2
5,legit and cheaper here compared to its mall counterpart received in good condition packed well satisfied buyer here i was initially hesitant to buy very pricey items online but i gambled on since this store had good reviews and has many branches in malls sealed box no dents iphone works well as expected u seller and shopee for selling this cheaper p k cheaper than in malls,legit cheaper compar mall counterpart receiv good condit pack well satisfi buyer initi hesit buy pricey item onlin gambl sinc store good review mani branch mall seal box dent iphon work well expect u shope sell cheaper p k cheaper mall,2,2
5,item was delivered earlier than expected delivery date was so happy to finally own my first iphone very fast transaction from this shop you btb,item deliv earlier expect deliveri date happi final first iphon fast transact shop btb,2,2
5,super duper legit wala pang week dumating na agad resposive seller and mabait you beyond the box more sales to come,super duper legit wala pang week dumat agad respos mabait beyond box sale come,2,2
5,it took days before it arrived i just wished it was delivered sooner good condition and well packaged super legit you,took day arriv wish deliv sooner good condit well packag super legit,2,2
5,arrived at good condition legit yung item thankk youu soo muchhh super secure din ng packaging kaya safe ang phone,arriv good condit legit yung item youu soo muchhh super secur packag safe phone,2,2
5,ordered july received july packaging is okay authentic iphone black gb nd iphone i bought from beyond the box got this for k with vouchers and coins and free shipping sad lang wala akong freebie na momax charger compared sa ibang buyer,order juli receiv juli packag okay authent iphon black gb nd iphon bought beyond box got k voucher coin free ship sad lang wala akong freebi momax charger compar ibang buyer,2,2
5,sobrang smooth gamitin fast to connect camera super happy w my purchase this is my first apple product god for his provision i really like the color ang lamig lang sa mata ng mint green also kudos to the btb legit the product arrived in days earlier than expected they re also responsive sa chat medyo downside lng for me yung battery na lng when i turned on but everything is good,sobrang smooth gamitin fast connect camera super happi w purchas first appl product god provis realli like color lamig lang mata mint green also kudo btb legit product arriv day earlier expect also respons chat medyo downsid lng yung batteri lng turn everyth good,2,2
5,camera beyond the box is a great place to purchase your phone in my experience they were very courteous when i asked questions and the phone came in just days item was also super well wrapped you again really happy with my phone,camera beyond box great place purchas phone experi courteous ask question phone came day item also super well wrap realli happi phone,2,2
5,legit iphone since given naman that byb is an authorized reseller bale ang inclusions are the iphone itself a usb c to lightning cable and the warranty and other docs to read plus sim ejector inabot ng six days to deliver so medyo oks lang yung bilis,legit iphon sinc given naman byb author resel inclus iphon usb c lightn cabl warranti doc read plus sim ejector inabot six day deliv medyo ok lang yung bili,2,2
5,excellent quality accommodating seller well packaged took almost week to arrived i will order again you,excel qualiti accommod well packag took almost week arriv order,2,2
5,second order ako ko na dito and all legit apple warranty guaranteed reveiwing after few days of use working fine as it should be bh fast shipping all goods lahat noong nareceive ko packed well you,second order legit appl warranti guarante reveiw day use work fine bh fast ship good noong narec pack well,2,2
5,super legit at first there was hesitation but when i opened the parcel star got a new authentic apple iphone love the shop liked the phone no issues will recommend the shop to my friends,super legit first hesit open parcel star got new authent appl iphon love shop like phone issu recommend shop friend,2,2
5,fast delivery and well packaged excited to use it my st iphone coz i ve always been an android user love the color too,fast deliveri well packag excit use st iphon coz alway android user love color,2,2
5,legit the package arrived in just days i highly recommend this shop since they are also a direct reseller of powermac i super love the color you btb,legit packag arriv day high recommend shop sinc also direct resel powermac super love color btb,2,2
5,fastest delivery i had expected delivery is still on november but already received today nov after placing last sale manila to mindanao safe packaging sturdy box and bubble wraps inside legit iphone worth buying with discount salamat shopee sa vouchers,fastest deliveri expect deliveri still novemb alreadi receiv today nov place last sale manila mindanao safe packag sturdi box bubbl wrap insid legit iphon worth buy discount shope voucher,2,2
5,first time to buy a phone online hehe satisfied and worth the wait took days before it arrived well packed and all goods hindi nga lang ako nakakuha ng freebies like other but its okay thanks,first time buy phone onlin hehe satisfi worth wait took day arriv well pack good lang nakakuha freebi like okay,2,2
4,ordered november shipped out november received november fast shipping item could ve been packed better with more bubble wrap though thanks seller,order novemb ship novemb receiv novemb fast ship item could pack better bubbl wrap though,2,2
5,legit and seller was very helpful with questions purchase was hassle free and item was packaged super well definitely recommend,legit help question purchas hassl free item packag super well definit recommend,2,2
5,camera legit ordered nung ng gabi and it arrived the afternoon super quick legit tlga even got the warranty happy with my purchase,camera legit order nung gabi arriv afternoon super quick legit tlga even got warranti happi purchas,2,2
5,been using it for a while now it was securely packed and was delivered immediately also got it for a lower price because of the promo,use secur pack deliv immedi also got lower price promo,2,2
5,i ordered last sale and got it at fairly discounted price i received the package days after the edge of the box was crumpled as you can see in the video so i was a bit worried while opening good thing there was no sign of physical damage,order last sale got fair discount price receiv packag day edg box crumpl see video bit worri open good thing sign physic damag,2,2
5,after some intense reflection i finally decided to purchase this one haha ordered sept and i received it just days later the item was well packed with an adequate amount of bubble wrap so far i haven t encountered any issues with the phone thanks too for the free speck clear case,intens reflect final decid purchas one haha order sept receiv day later item well pack adequ amount bubbl wrap far encount issu phone free speck clear case,2,2
5,works and feels like it should be camera is an upgrade i am totally happy with my purchase except for the courier side though that there is definitely needs an improvement when dealing with their customers and handling the parcel as the box is somewhat smashed,work feel like camera upgrad total happi purchas except courier side though definit need improv deal custom handl parcel box somewhat smash,2,2
5,it took time for the seller to ship the item pero legit po phone is working and brand new walan nga lang pong resibo i received phone and cord salamat shopee and seller,took time ship item legit po phone work brand new walan lang pong resibo receiv phone cord shope,2,2
5,arrived within expected date well packed comes with free tools and adhesive this is my nd order of oled display from the store and both are great quality you for such wonderful online shopping experience you are my go to store when i need display replacement,arriv within expect date well pack come free tool adhes nd order ole display store great qualiti wonder onlin shop experi go store need display replac,2,2
5,value for money excellent excellent excellent now lang ako magbibigay ng comment sa product na ito ganda niya super ganda niya sulit na sulit as you can see balot na balot saan ka makakabili ng lcd na may kasama ng mga tools totoo ang tsismis as in legit di kayo magsisisi iba siya sa pinagawa ko dito lang sa amin di na umabot ng isang buwan nasira na pesos pa binayad ko kaya yung nakita ko to sa shoppe nagtry ako ulit ipagawa lcd ng phone ko kase may sentimental value yung cp ko ako na din yung nag ayos watch lang sa youtube kung papaano and tsadaaaa sa wakas di ako ngsisisi worth it talaga you so much po seller yun lang po ang thanks sa nagbabasa ng comment ko dito sa shop na ito kung sino man nagbabasa nito wag ng magpatumpik tumpik at e add to cart muna dali,valu money excel excel excel lang magbibigay comment product ganda super ganda sulit sulit see balot balot makakabili lcd kasama tool totoo tsismi legit magsisisi pinagawa lang umabot buwan nasira peso binayad yung shopp nagtri ulit ipagawa lcd phone kase sentiment valu yung cp yung nag ayo watch lang youtub papaano tsadaaaa waka ngsisisi worth talaga much po yun lang po nagbabasa comment shop man nagbabasa nito wag magpatumpik tumpik e add cart muna dali,2,2
5,this is my nd order they got well protected package recieved them in good conditions thumbs up great handling with care lcd is clear and clean my first order was bright the second one is dimmer though overall they are good salamat seller,nd order got well protect packag reciev good condit thumb great handl care lcd clear clean first order bright second one dimmer though overal good,2,2
5,very good smooth touch amoled sorry for my very placing rate review about sa item na napurchased ko working na working sa device ko ngaun nagamit ko na ulit ang phone ko matapos na orderan ng lcd touchscreen sa mga siiang lcd touchscreen ng unit nila na samsung j pro dito na po kau oorder legit po ang store na to kaya ano pa hinintay nyo bili na bilis din ang delivery kahit na overseas ito dhl hndi umabot ng weeks dumating sa akin ang inorder ko salamat kay seller na nag effort sa pag ship out ng item na inorder ko at sa maayos ng pagkabalot ng item ko at napakaresponsive na seller po salamat din sa shopee rider j t express na hinitay ako hanggang diko nakuha ang item ko,good smooth touch amol sorri place rate review item napurchas work work devic ngaun nagamit ulit phone matapo orderan lcd touchscreen siiang lcd touchscreen unit samsung j pro po kau oorder legit po store hinintay nyo bili bili deliveri oversea dhl hndi umabot week dumat inord nag effort pag ship item inord maayo pagkabalot item napakarespons po shope rider j express hinitay diko nakuha item,2,2
5,good quality value for money affordable okay so far so good rd time ko na to inorder from this shop pero mas maganda yung first two orders ko,good qualiti valu money afford okay far good rd time inord shop ma maganda yung first two order,2,2
5,pangalawang order ko na sa shop na to i highly recommend this shop kasi maganda yung quality ng lcd well packaged din siya responsive din ng lcd madami kc nga shops na nagbebenta buti nlng trusted itong shop na to,pangalawang order shop high recommend shop maganda yung qualiti lcd well packag respons lcd madami kc shop nagbebenta buti nlng trust itong shop,2,2
5,ok sya maganda value for money sulit naman salamat seller pati sa rider maayos nmn po ang pagka balot mabait din si rider kaso nung nkabit na nmin kulay blue yung screen nya pero ok nmn na gagamit nmn salamat order kami ulit,ok sya maganda valu money sulit naman pati rider maayo nmn po pagka balot mabait si rider kaso nung nkabit nmin kulay blue yung screen nya ok nmn gagamit nmn order ulit,2,2
5,excellent quality and very very good packaging po ordered amoled screen hereeee you and stars for this shop highly recomended this shop to all j pro users out there,excel qualiti good packag po order amol screen hereee star shop high recomend shop j pro user,2,2
5,complete set value for money best best aside from the screen they provided with tools to help for the repair package is also secure so you don t have to worry package delivery is also fast,complet set valu money best best asid screen provid tool help repair packag also secur worri packag deliveri also fast,2,2
5,very good quality for it s price the screen looks close to the original you can t even notice it is a replacement once installed blue light filter is working comes with free tools as seen in the attached pictures i highly recommend this product,good qualiti price screen look close origin even notic replac instal blue light filter work come free tool seen attach pictur high recommend product,2,2
5,value for money goodn na good star maganda safe na safe yung packiging nila,valu money goodn good star maganda safe safe yung packig,2,2
5,una pag kabit ko d agad umilaw un screen pero nun nag hard restart ako gumana n sya pag testing ko prang walang naiba sa itsura sobrang clear ng graphics ung touch smooth n smooth din sobrang secured din ng packaging and very responsive c seller anytime nag rereply sobrang thankyou sanyo,pag kabit agad umilaw un screen nun nag hard restart gumana n sya pag test prang naiba itsura sobrang clear graphic ung touch smooth n smooth sobrang secur packag respons c anytim nag rerepli sobrang sanyo,2,2
5,i was worried cause its not working at first but the seller was very responsive in my case i needed to reconnect the battery flex so i had to entirely open the phone you so much my mom is so happy with the quality of the product,worri caus work first respons case need reconnect batteri flex entir open phone much mom happi qualiti product,2,2
5,package arrived in a very good condition shipping took only days the products are genuinely of high quality i can now use my samsung j pro perfectly like its never been broken at all i will definitely order again,packag arriv good condit ship took day product genuin high qualiti use samsung j pro perfect like never broken definit order,2,2
5,this was my third time purchasing j pro s screen replacement from cellmax other the st and nd were defective items but the last one this time was good thumbs up for this thanks,third time purchas j pro screen replac cellmax st nd defect item last one time good thumb,2,2
5,value for money very good for the price good quality you shopee and seller also kua for the delivery parcel arrived safe and secured three thumbs up here,valu money good price good qualiti shope also kua deliveri parcel arriv safe secur three thumb,2,2
5,you po ang ganda ng lapat ng lcd mabilis pa dumating you din kay kuya ng j t excellent quality will order again,po ganda lapat lcd mabili dumat kuya j excel qualiti order,2,2
5,the screen was legit amoled this is much better compared to the old replacement screen i got which was a tft lcd the colors are warmer and fits better only issue is the blue light filter doesn t work but overall this is a good buy don t hesitate to order,screen legit amol much better compar old replac screen got tft lcd color warmer fit better issu blue light filter work overal good buy hesit order,2,2
5,napakaganda ng package super secure mabilis din dumating ang order ko maganda talaga quality kasyang kasya sa housing hindi sobra amoled display maganda talaga sa mata thanks you so much will order again on this shop,napakaganda packag super secur mabili dumat order maganda talaga qualiti kasyang kasya hous sobra amol display maganda talaga mata much order shop,2,2
5,quality is good value for money worth the money good at first i tought it was defective so i chat the seller and they are so responsive worth the money this shop is highly recommended,qualiti good valu money worth money good first tought defect chat respons worth money shop high recommend,2,2
5,good value for money good good sorry ved not related for points purposes only very good product ok nman sana mgtagal pra sulit ang bayad ko,good valu money good good sorri ved relat point purpos good product ok nman sana mgtagal pra sulit bayad,2,2
5,finally magagamit ko na rin yung samsung j pro oled lang binili ko kc d ako sure kung gagana pa yung phone buti nlng working pa kaya happy ako sa purchase at secured nmn ng packaging meron din kasama na tools at glue d ko lang naisama sa picture thanks seller,final magagamit rin yung samsung j pro ole lang binili kc sure gagana yung phone buti nlng work happi purchas secur nmn packag meron kasama tool glue lang naisama pictur,2,2
1,waste of money poor sobrang nipis nya at wala syang logo di tulad ng mga nasa reviews tapos yung blue light filter nya pag ini on mo magiging dilaw na may pagka green lang sya patunay na low quality yung lcd nilang amoled daw pero pag chineck mo sa screen mode at pag nilagay mo sa amoled display maninilaw lang din sya tapos pag naka dark mode may mga part ng screen na madilaw sya pag walang logo dumating sa inyo ganito rin qualty nyan at hindi ka nila iiinform na walang logo ipapadala nila,wast money poor sobrang nipi nya wala syang logo nasa review tapo yung blue light filter nya pag ini mo dilaw pagka green lang sya patunay low qualiti yung lcd nilang amol pag chineck mo screen mode pag nilagay mo amol display maninilaw lang sya tapo pag naka dark mode part screen madilaw sya pag logo dumat ganito rin qualti nyan iiinform logo ipapadala,0,0
5,makapal sya pero sakto lang pagkakasalpak medyo ma mabrown lang ung backlight hindi sya kamukha ng iba na white unh backlight para syang laging naka eye protection sana tumagal thanks cellmax,makap sya sakto lang pagkakasalpak medyo mabrown lang ung backlight sya kamukha white unh backlight syang lage naka eye protect sana tumag cellmax,2,2
5,i m so happy with the items super ganda at matibay worth it ang binayad ko will order again soon good packaging i super love it its so secured you so much po,happi item super ganda matibay worth binayad order soon good packag super love secur much po,2,2
5,thanks you seller super goods yung item naka packaging ng secured and so far no issue nman yung lcd nya and then successful yung installation ko thanks a lot po,super good yung item naka packag secur far issu nman yung lcd nya success yung instal lot po,2,2
5,item is functional no regrets in buying their amoled screens are just like the original ones nung una medyo hesitant pa bumili pero i trusted my gut since need ko na talaga magreplace ng lcd and this shop never failed my expectations definitely worth it,item function regret buy amol screen like origin one nung medyo hesit bumili trust gut sinc need talaga magreplac lcd shop never fail expect definit worth,2,2
5,ganda quality talaga amoled gumagana rin yung blue light filter very safe din ang packaging super satisfied at its reasonable price akala ko nung una defective yung lcd buti nalang sinubukan nung technician na alisin ang battery tas yun nagkadisplay na thanks seller,ganda qualiti talaga amol gumagana rin yung blue light filter safe packag super satisfi reason price nung defect yung lcd buti nalang sinubukan nung technician alisin batteri ta yun nagkadisplay,2,2
5,rd order and still you never cease to impress me you seller dahil magagamit ko na phone ko after years natengga salamat po dahil sa ganda nang quality at so smooth pa ang screen salamat po again,rd order still never ceas impress magagamit phone year natengga po ganda nang qualiti smooth screen po,2,2
5,value for money okay good good okay good you seller bilis na ship and dumating salamat fit sya guys amoled piliit nyo para sulit,valu money okay good good okay good bili ship dumat fit sya guy amol piliit nyo sulit,2,2
5,legit product well packed sobrang ganda pina ship agad ni seller at bilis ng shipment i received the product days earlier than the delivery date ang bait din ni seller you shopee you j t at kay raider sa pag deliver ng parcel ko recommend and shop na to com on let s vape,legit product well pack sobrang ganda pina ship agad bili shipment receiv product day earlier deliveri date bait shope j raider pag deliv parcel recommend shop com let vape,2,2
5,legit matagal siya bago malowbat worth the money ang bilis nadeliver kakacheckout ko lang nung tapo narecieve ko agad kinabukasan ganda ng item,legit matag malowbat worth money bili nadeliv kakacheckout lang nung tapo nareciev agad kinabukasan ganda item,2,2
5,cencya na now lang me rate kc try ko muna honest review ko excellent product nice seller and i like it good job and god bless,cencya lang rate kc tri muna honest review excel product nice like good job god bless,2,2
5,grabe nahirapan akong buksan ang galing mag packaging at yng products quality talaga at c seller nagsesend ng picture before nya pa ship thanks again at kay jnt ang bilis delivery days lang and na baguio receive kuna agad,grabe nahirapan akong buksan gale packag yng product qualiti talaga c nagsesend pictur nya ship jnt bili deliveri day lang baguio receiv kuna agad,2,2
5,mabait si seller nag ask ako if pwede bang freebase nalang ung juice na dapat saltnic na kasama binigay nya sakin dalawang juice na freebase mabilis dumating ung item at legit from lost vape,mabait si nag ask pwede bang freebas nalang ung juic saltnic kasama binigay nya sakin dalawang juic freebas mabili dumat ung item legit lost vape,2,2
5,metal indeed it feels heavy too the best this would be the replacement for my aging voopoo vmate they have the same quality,metal inde feel heavi best would replac age voopoo vmate qualiti,2,2
5,dabess talaga ursa nano pod legit item bibili ako ulit dito salamat sa seller exact order yung dumating at swabe ang wrapping nang item parang ayaw ipa open secured kaayo good job seller you so much salamat shoppee,dabess talaga ursa nano pod legit item bibili ulit exact order yung dumat swabe wrap nang item parang ayaw ipa open secur kaayo good job much shoppe,2,2
5,vgood smart pod great wow ang bilis naman dumating ng order ko this is my nd time order and god kase nag sesent muna si costumer ng pic bago ipadala,vgood smart pod great wow bili naman dumat order nd time order god kase nag sesent muna si costum pic ipadala,2,2
5,legit talaga tong ursa nano i also have the silver one sa ibang shop ko naman sya nabili kaso nakita ko tong bagong labas na color kaya agad agad bumili talaga ako you seller and shopee til next order,legit talaga tong ursa nano also silver one ibang shop naman sya nabili kaso tong bagong laba color agad agad bumili talaga shope til next order,2,2
5,napaka swabe napaka smooth dabest,swabe smooth dabest,2,2
5,na recieve ko na maganda pagka packing safe na safe sya my babble pa sya solid na solid star si seller sa akin tnx u at sa dilivery ang bilis di ko inaasahan na dumating sya agad tnx u po ulit,reciev maganda pagka pack safe safe sya babbl sya solid solid star si tnx u diliveri bili inaasahan dumat sya agad tnx u po ulit,2,2
